Username	User handle	Tweet	Date of posting	Text	Retweet count	Like count
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573520196295225349	Sat Sep 24 03:50:24 +0000 2022	"TODAY AT 11AM
The 'Third Professor Shamnad Basheer. Memorial Lecture' 
BY
Supreme Court Judge, Dr. Justice Dhananjaya Y Chandrachud
Watch Live 
https://t.co/gjTRMqRt5g https://t.co/ljPN8iEBGv"	2	3
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573501078158512128	Sat Sep 24 02:34:25 +0000 2022	"Street Dog Population In Kerala Can't Be Redued By ABC Program Alone; Alternate Methods Needed: Siri Jagan Committee To Supreme Court

https://t.co/I81c6q2kQs"	2	9
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573354395747729408	Fri Sep 23 16:51:34 +0000 2022	"On the occasion of the retirement of Supreme Court Justice Indira Banerjee, the Supreme Court Bar Association (SCBA) organised a farewell function in her honour.
Read more: https://t.co/S5LE5wkGDq
#SupremeCourt  #justiceindirabanerjee https://t.co/vkW1y3i6zh"	5	23
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573352094895165440	Fri Sep 23 16:42:25 +0000 2022	"The #SupremeCourt bench comprising Chief Justice U.U. Lalit and Justice Ravindra Bhat, on Friday, granted bail to the former IL&amp;FS director Ramchand Karunakaran. Karunakaran was arrested in 2019 for alleged offences under the #PMLA..
Read more: https://t.co/bXNteBPCW8 https://t.co/SOuRCbVHqK"	5	20
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573348037807984641	Fri Sep 23 16:26:18 +0000 2022	RT @LiveLawIndia: “This Court makes an appeal to seniors in this profession to ensure that the stipend that is paid to their juniors is eno…	4	0
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573344310497525761	Fri Sep 23 16:11:29 +0000 2022	"Which Language Is Used In Courts ? [VIDEO-HINDI] 
@CharuSingh_345  @KundanKulshresh 
https://t.co/yZ6m818kv8"	2	5
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573344020562333696	Fri Sep 23 16:10:20 +0000 2022	"Court: This Court also takes note of the fact that many of these youngsters either do not get paid by their seniors or the salaries that are paid to them are so meagre that it barely covers the cost of living in a metropolitan city. 

#delhiHighCourt #Lawyers"	1	6
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573344014577070082	Fri Sep 23 16:10:19 +0000 2022	"Court: It is indeed very difficult for young advocates to bear expenses for the purposes of accommodation food, and travelling expenses. 

#DelhiHighCourt #Lawyers"	1	10
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573343779272396800	Fri Sep 23 16:09:22 +0000 2022	“This Court makes an appeal to seniors in this profession to ensure that the stipend that is paid to their juniors is enough for their juniors to evade the financial stress that accompanies this profession and allows them to lead a more dignified life,” #DelhiHighCourt	4	26
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573342136090648577	Fri Sep 23 16:02:51 +0000 2022	Supreme Court Stays Deportation Of Woman Declared As Illegal Migrant, Notes Her Family Members Are Included In NRC https://t.co/mojfdqXyrw	5	15
