,Time,User,Tweet
0,2022-09-23 16:51:34+00:00,LiveLawIndia,"On the occasion of the retirement of Supreme Court Justice Indira Banerjee, the Supreme Court Bar Association (SCBA… https://t.co/fymlHBYK7r"
1,2022-09-23 16:42:25+00:00,LiveLawIndia,"The #SupremeCourt bench comprising Chief Justice U.U. Lalit and Justice Ravindra Bhat, on Friday, granted bail to t… https://t.co/mK5iuyFMGm"
2,2022-09-23 16:11:29+00:00,LiveLawIndia,"Which Language Is Used In Courts ? [VIDEO-HINDI] 
@CharuSingh_345  @KundanKulshresh 
https://t.co/yZ6m818kv8"
3,2022-09-23 16:10:20+00:00,LiveLawIndia,Court: This Court also takes note of the fact that many of these youngsters either do not get paid by their seniors… https://t.co/zf7LMzxOPV
4,2022-09-23 16:10:19+00:00,LiveLawIndia,"Court: It is indeed very difficult for young advocates to bear expenses for the purposes of accommodation food, and… https://t.co/3IkmZSRnxO"
5,2022-09-23 16:09:22+00:00,LiveLawIndia,“This Court makes an appeal to seniors in this profession to ensure that the stipend that is paid to their juniors… https://t.co/1oXtu5uBc2
6,2022-09-23 16:02:51+00:00,LiveLawIndia,"Supreme Court Stays Deportation Of Woman Declared As Illegal Migrant, Notes Her Family Members Are Included In NRC https://t.co/mojfdqXyrw"
7,2022-09-23 15:47:41+00:00,LiveLawIndia,Supreme Court To Hear Plea Challenging Firecrackers Ban In Delhi On October 10 https://t.co/0QhLNUloi5
8,2022-09-23 15:39:01+00:00,LiveLawIndia,Delhi High Court Appeals Senior Lawyers To Pay 'Dignified' Stipend To Juniors @nupur_0111 https://t.co/monhrqoC3P
9,2022-09-23 15:20:00+00:00,LiveLawIndia,"Courts Today- A Daily Round Up Of Important Legal Developments- 23.9.22 @aaratrika_11,@KundanKulshresh https://t.co/iyqlgxLHm5"
10,2022-09-23 15:17:41+00:00,LiveLawIndia,"""Becoming A Judge Is A Sacrifice In One Sense"" : Supreme Court Judge Justice Indira Banerjee Says While Bidding Far… https://t.co/RTHmhQYIih"
11,2022-09-23 15:06:54+00:00,LiveLawIndia,Justice KM Joseph of the Supreme Court of India today recused from two petitions filed by CBI assailing the anticip… https://t.co/NLcqR11O2H
12,2022-09-23 14:35:20+00:00,LiveLawIndia,"In PMLA If Someone Has Been Inside For 3 Years, That's A Good Measure, Says Supreme Court While Granting Bail… https://t.co/aMKRMbhJ8q"
13,2022-09-23 14:16:07+00:00,LiveLawIndia,"Update: The matter will be heard on Monday by Justice Yogesh Khanna. 

#SatyendarJain #ED"
14,2022-09-23 13:59:43+00:00,LiveLawIndia,"""This is not an ongoing issue"", the Supreme Court of India observed on Friday while considering a petition filed by… https://t.co/r2AGmUqs5Z"
15,2022-09-23 13:46:30+00:00,LiveLawIndia,Passenger Who Sustains Injury On Account Of Mine Blast Entitled To Compensation Under Motor Vehicle Act: J&amp;K&amp;L High… https://t.co/sFckhRkzq1
16,2022-09-23 13:42:51+00:00,LiveLawIndia,"In relation to the stray dog menace in Kerala, the expert committee led by former Kerala High Court judge Justice S… https://t.co/iyrheyFJJt"
17,2022-09-23 13:42:45+00:00,LiveLawIndia,"In relation to the stray dog menace in Kerala, the expert committee led by former Kerala High Court judge Justice S… https://t.co/VuurRtQ9nB"
18,2022-09-23 13:26:06+00:00,LiveLawIndia,"Stray Dog Menace: Kerala High Court Questions State About Measures To Identify Rabid Dogs, ABC Program @navya_benny https://t.co/Sy0khQBwrp"
